,0,1
0,"[Verse 1]
Good morning my love
It's been a while since we have talked
And you have grown
Your eyes are older than the tallest tree you see
Because thirty lives can be extraordinarily long

[Chorus]
Lay me down, lay me down
Again my friend
I know it's been a while since I could look you in the eyes
Because I am foolish and I am sorry
But sorry never made it feel alright, alright

[Verse 2]
Good morning myself
It's been a while since we have talked
And you have changed
For better or worse is yet to determine
But I am sure
That you'll keep living and breathing until this world turns over

[Chorus]
Lay me down, lay me down
Again my friend
I know it's been a while since I could look you in the eyes
Because I am foolish and I am sorry
But sorry never made it feel alright, alright
Lay me down, lay me down
Again my friend
I know it's been a while since I could look you in the eyes
Because I am foolish and I am sorry
But sorry never made it feel alright, alright",rock
1,"[Verse 1]
Good morning, my love
It's been a while since we first talked
And I have grown
My eyes are older than the tallest tree you see
Thirty lives can be extraordinarily long

[Chorus]
Lay me down, lay me down
Again, my friend
I know it's been a while since I could look you in the eye
But I am foolish and I am sorry
And sorry never made it feel alright, alright

[Verse 2]
Good morning, myself
It's been a while since we have spoken
And you have changed
For better or worse is yet to determine
I am sure
You keep living and breathing until this world rolls over

[Chorus]
Lay me down, lay me down
Again, my friend
I know it's been a while since I could look you in the eye
But I am foolish and I am sorry
And sorry never made it feel alright, alright

[Bridge]
Stay with me, stay with me
Forever

[Outro]
Again, my friend
I know it's been a while since I could look you in the eye
And I am foolish and I am sorry
Abd sorry never made it feel alright, alright",rock
2,"[Verse 1]
Everything you say is just a lie and now I'm leaving
To the city where the people are awake to chase a dream that isn't real
And we're 'posed to be something that we're not
Just wanna change a lot and sign our name after the dot
Everything you see is just a century of anarchy
All my corresponding colors that symbolize the things we can attest
Arrange, we can assess, we can attain
We are the entry for entities to entice and entertain

[Chorus]
All eyes, they're on you
Don't deny, you've got to
This is a call, that's all you'll ever get from me
This is a call, that's all you'll ever get from me

[Verse 2]
Take my side
Take my side, don't look back
Now I'm easy and that's a fact
And you're on my mind, oh

[Pre-Chorus]
Everything you say is just a lie and now I'm leaving
To the city where the people are awake to chase a dream that isn't real
And we're 'posed to be something that we're not
Just wanna change and sign our name after the dot

[Chorus]
All eyes, they're on you
Don't deny, you've got to
This is a call, that's all you'll ever get from me

[Bridge]
Now will the sun come up tonight?
Because your eyes they burn so bright
I'm all you've got, when you say that you want it all
You want it all

[Chorus]
All eyes, they're on you
Don't deny, you've got to
This is a call, that's all you'll ever get from me
This is a call, that's all you'll ever get from me
All eyes, they're on you
Don't deny, you've got to
This is a call, that's all you'll ever get from me
This is a call, that's all you'll ever get from me",rock
3,"[Verse 1]
I get caught in the water, get torn in the wind
I could drown in the river, while the sun burns dim
I get tossed by the ocean, fall deep in the sand
I’m drowned out by the thunder, lost in a laugh

[Pre-Chorus]
Is anyone listening?
Is anyone around to see?

[Chorus]
That I’m doing it all for you
I’m doing it all for you
I’m ready to go
I’m ready to go
I’m doing it all for you
I’m doing it all for you
I’m ready to go
I’m ready to go

[Instrumental]

[Post-Chorus]
Twenty five seconds
Your heart will stop resting
Your body, start shaking
Your mind is now ready to go
Ready to go
Twenty five seconds
Your heart will stop resting
Your body, start shaking
Your mind is now ready to go
Ready to go

[Outro]
I said
Twenty five seconds
Your heart will stop resting
Your body, start shaking
Your mind is now ready to go
Ready to go",rock
4,"[Verse 1]
Is this just an illusion
That I made inside my head to get me by?
Twenty years in debt
Twenty years in the government
Twenty years can never get me by

[Pre-Chorus]
And I feel you close
Feel you close like you wanted me to
Feel you close
Like you wanted me to
Believe in you

[Chorus]
Rise to the top of the world, America
America, don't you cry
Lift me up
Give me strength to press on
Rise to the top of the world
America
America, don't you cry
Lift me up
Give me strength to press on

[Verse 2]
From farmers in fields
To the tallest of the towers that fall and rise
1-7-7-6
The names upon the list
For all the ones that gave until they died
Don't you hold back
I can see in your mind, and your mind will set you free

[Pre-Chorus]
And I feel you close
Feel you close like you wanted me to
Feel you close
Like you wanted me to
Believe in you

[Chorus]
Rise to the top of the world, America
America, don't you cry
Lift me up
Give me strength to press on
Rise to the top of the world
America
America, don't you cry
Lift me up
Give me strength to press on

[Chorus]
Rise to the top of the world, America
America, don't you cry
Lift me up
Give me strength to press on
Rise to the top of the world
America
America, don't you cry
Lift me up
Give me strength to press on",rock
5,"[Verse 1]
I don't have to feel good
I just wanna feel better
And I would change it if I could, if I could
I'm sick of sadness all together
Oh, I could use a distraction to cope with my life
So thin a little more healthy
See the sun every night
I don't have to feel good
Oh, I just wanna feel better

[Chorus]
I've got too much alone time
I could share some with you
I need some kind of sunshine
And the smiles overdue
I've got too much alone time
I've got too much alone time
Let me share some with you

[Verse 2]
I don't have to feel good
I just wanna feel better
And I know I probably should, probably should
Get up and get my life together
Well there are days when this mattress are like an island, no more
Trapped alone in these feelings
Will I ever get off?
I don't have to feel good
Oh, I just wanna feel better

[Chorus]
I've got too much alone time
I could share some with you
I need some kind of sunshine
And the smiles overdue
I've got too much alone time
I've got too much alone time
Let me share some with you

[Outro]
Take me as I am
Take me as I was
No one will ever love me
I'm alone as they come
Take me as I am
Take me as I",rock
6,"[Chorus]
I like that you're broken
Broken like me
Maybe that makes me a fool
I like that you're lonely
Lonely like me
I could be lonely with you

[Verse 1]
I met you late night, at a party
Some trust fund baby's Brooklyn loft
By the bathroom, you said let's talk
But my confidence is wearing off

[Pre-Chorus]
These aren't my people
These aren't my friends
She grabbed my face and
That's when she said

[Chorus]
I like that you're broken
Broken like me
Maybe that makes me a fool
I like that you're lonely
Lonely like me
I could be lonely with you

[Verse 2]
There's something tragic, but almost pure
Think I could love you, but I'm not sure
There's something wholesome, there's something sweet
Tucked in your eyes that I'd love to meet

[Pre-Chorus]
These aren't my people
These aren't my friends
She grabbed my face and
That's when she said

[Chorus]
I like that you're broken
Broken like me
Maybe that makes me a fool
I like that you're lonely
Lonely like me
I could be lonely with you

[Bridge]
Life is not a love song that we like
We're all broken pieces floating by
Life is not a love song we can try
To fix our broken pieces one at a time

[Chorus]
I like that you're broken
Broken like me
Maybe that makes me a fool
I like that you're lonely
Lonely like me
I could be lonely with you
I like that you're broken
Broken like me
Maybe that makes me a fool
I like that you're lonely
Lonely like me
I could be lonely with you",rock
7,"[Verse 1]
I miss when I saw your face
Drunk in our Sunday's best
All of those chemicals
I snorted right off your chest

[Pre-Chorus]
Oh, that was beautiful
We were young, we were beautiful
Oh, that was beautiful
We were young, we were beautiful

[Chorus]
In your head it's Coachella every weekend
Free spirits and flowers on your head
I love the way that you laughed with me
I miss the way that you laughed with me
And we sang (oh, ah, oh, ah)
And we sang (oh, ah, oh, ah)

[Verse 2]
A careless summer and a wild heart
I'm at my best with you by my side
We danced and we lost ourselves
And loved all through the night

[Pre-Chorus]
Oh, that was beautiful
We were young, we were beautiful
Oh, that was beautiful
We were young, we were beautiful

[Chorus]
In your head it's Coachella every weekend
Free spirits and flowers on your head
I love the way that you laughed with me
I miss the way that you laughed with me
And we sang (oh, ah, oh, ah)
And we sang (oh, ah, oh, ah)

In your head it's Coachella every weekend
Free spirits and flowers on your head
I love the way that you laughed with me
I miss the way that you laughed with me
And we sang (oh, ah, oh, ah)
And we sang (oh, ah, oh, ah)

In your head it's Coachella every weekend
In your head it's Coachella every weekend",rock
8,"I can make you happy for a while
Smile for a little
Pretending like my heart ain't broke
You think I'm charming for a minute
Funny for a second
Until I turn into a joke

Trying to stay positive
Not an easy way to live
Step inside of my brain
We can take it nice and slow
At the pace you wanna go
Laugh right through the pain

She said I can't find a thing I don't like about you
And I'm like don't worry, you will
I don't wanna find a reason to doubt you
And I'm like don't worry, you will
I'm a freak, I'm a fraud
I'm a child, I'm flawed
She said I can't find a thing I don't like about you
And I'm like don't worry, you will

Oh you say you really love me
Right up until you leave
There's nothing I can do to help
The conversation will get ugly
A dream into a chore
You'll say you need to find yourself

Trying to stay positive
Not an easy way to live
Laugh right through the pain

She said I can't find a thing I don't like about you
And I'm like don't worry, you will
I don't wanna find a reason to doubt you
And I'm like don't worry, you will
I'm a freak, I'm a fraud
I'm a child, I'm flawed
She said I can't find a thing I don't like about you
And I'm like don't worry, you will

She said I can't find a thing I don't like about you
And I'm like don't worry, you will
I don't wanna find a reason to doubt you
And I'm like don't worry, you will
I'm a freak, I'm a fraud
I'm a child, I'm flawed
She said I can't find a thing I don't like about you
And I'm like don't worry, you will",rock
9,"[Verse 1]
We can catch up for coffee
And talk about his accent
I'll pretend that I'm fine
But I can't pretend we never met

You'll bring up the distance
How I'm always on my phone
You'll say you lost your patience
How you're better on your own

[Pre-Chorus]
But you've always been good at that
But you've always been good at that

[Chorus]
All I wanted
Was a little emotion
All I wanted
Was a little emotion
Keep rolling your eyes
Your words stuck inside
Behind your teeth
Your feelings can't hide
All I wanted
Was a little emotion

[Verse 2]
It used to be magic
Now there's bullshit and sadness
I know that I lied
You still insist I never tried

[Pre-Chorus]
But you've always been good at that
But you've always been good at that

[Chorus]
All I wanted
Was a little emotion
All I wanted
Was a little emotion
Keep rolling your eyes
Your words stuck inside
Behind your teeth
Your feelings can't hide
All I wanted
Was a little emotion

All I wanted
Was a little emotion
All I wanted
Was a little emotion
Keep rolling your eyes
Your words stuck inside
Behind your teeth
Your feelings can't hide
All I wanted
Was a little emotion",rock
